UTP,Cidade Sede,UF,Impacto direto,Impacto direto e indireto,"Impacto direto, indireto e induzido"
316,São Paulo,SP,693.127,1095.478,1305.063
284,Rio de Janeiro,RJ,153.739,243.439,285.939
267,Porto Alegre,RS,115.584,184.4,219.138
42,Belo Horizonte,MG,90.721,143.691,169.948
278,Recife,PE,76.291,104.517,118.671
291,Salvador,BA,63.146,98.815,114.925
206,Manaus,AM,77.915,97.261,107.114
53,Brasília,DF,59.004,85.863,99.666
100,Curitiba,PR,42.348,65.023,77.128
110,Florianópolis,SC,34.207,53.119,62.86
203,Maceió,AL,29.444,41.522,47.226
111,Fortaleza,CE,30.079,39.57,44.404
237,Parauapebas,PA,37.844,39.095,40.289
117,Goiânia,GO,25.598,33.925,38.625
222,Natal,RN,20.108,26.042,29.122
41,Belém,PA,18.531,24.783,27.865
363,Vitória,ES,15.739,24.062,28.126
185,João Pessoa,PB,13.662,19.273,22.044
88,Chapecó,SC,12.837,18.004,20.548
336,Teresina,PI,10.873,16.296,18.849
19,Aracaju,SE,13.564,16.153,17.604
208,Marabá,PA,14.156,15.929,16.925
202,Macapá,AP,11.204,14.924,16.652
362,Vitória da Conquista,BA,9.47,13.361,15.029
311,São José do Rio Preto,SP,9.361,13.039,14.961
98,Cuiabá,MT,9.773,12.846,14.525
67,Campo Grande,MS,8.684,12.755,14.854
314,São Luís,MA,8.908,12.052,13.552
187,Juazeiro do Norte,CE,10.916,11.13,11.457
352,Uberlândia,MG,8.485,11.115,12.51
282,Rio Branco,AC,7.379,11.007,12.721
269,Porto Velho,RO,9.63,10.66,11.318
47,Boa Vista,RR,7.048,9.928,11.252
281,Ribeirão Preto,SP,7.501,9.902,11.137
186,Joinville,SC,5.952,9.007,10.451
126,Ilhéus,BA,6.293,8.746,9.855
140,Foz do Iguaçu,PR,7.535,8.719,9.412
199,Londrina,PR,5.492,8.362,9.831
253,Petrolina,PE,7.854,8.261,8.583
65,Campina Grande,PB,5.43,8.055,9.197
324,Sinop,MT,4.912,7.404,8.641
375,Altamira,PA,5.67,7.391,8.183
298,Santarém,PA,5.391,7.154,7.96
128,Imperatriz,MA,6.057,6.703,7.099
160,Navegantes,SC,4.632,6.314,7.181
268,Porto Seguro,BA,4.327,6.13,6.929
211,Maringá,PR,5.255,5.67,5.984
240,Passo Fundo,RS,3.704,5.586,6.498
274,Presidente Prudente,SP,3.64,4.793,5.414
301,Araçatuba,SP,3.456,4.546,5.127
231,Palmas,TO,3.942,4.416,4.699
62,Caldas Novas,GO,2.615,3.953,4.573
470,Coari,AM,3.625,3.738,3.846
218,Montes Claros,MG,3.214,3.68,3.927
38,Barreiras,BA,2.954,3.64,3.952
84,Caxias do Sul,RS,2.534,3.446,3.928
157,Santana do Paraíso,MG,2.487,3.062,3.341
103,Dourados,MS,2.108,3.057,3.505
445,Canaã dos Carajás,PA,2.824,2.882,2.956
374,Alta Floresta,MT,1.877,2.816,3.273
79,Cascavel,PR,2.363,2.661,2.853
551,Jaguaruna,SC,1.866,2.575,2.935
289,Rondonópolis,MT,1.676,2.539,2.956
238,Parintins,AM,2.265,2.454,2.569
155,Tabatinga,AM,1.667,2.372,2.663
618,Oriximiná,PA,1.897,2.219,2.38
56,Cabo Frio,RJ,1.467,1.991,2.233
189,Juiz de Fora,MG,1.22,1.838,2.128
492,Cruzeiro do Sul,AC,1.145,1.667,1.889
118,Governador Valadares,MG,1.131,1.663,1.909
500,Eirunepé,AM,1.108,1.572,1.764
344,Três Lagoas,MS,1.269,1.446,1.548
561,Juína,MT,0.828,1.237,1.437
182,Ji-Paraná,RO,1.045,1.225,1.321
209,Maragogi,AL,0.983,1.06,1.108
210,Marília,SP,0.85,1.05,1.158
557,Cruz,CE,0.899,1.024,1.089
201,Macaé,RJ,0.932,1.016,1.066
297,Santa Maria,RS,0.608,0.924,1.081
20,Araguaína,TO,0.685,0.922,1.029
734,Tefé,AM,0.655,0.921,1.033
40,Bauru,SP,0.719,0.918,1.024
287,Rio Verde,GO,0.604,0.907,1.05
430,Cacoal,RO,0.824,0.89,0.936
334,Teixeira de Freitas,BA,0.635,0.888,1.003
310,São José de Mipibu,RN,0.585,0.855,0.975
194,Almeirim,PA,0.637,0.801,0.873
650,Porto de Moz,PA,0.603,0.8,0.888
700,São Gabriel da Cachoeira,AM,0.526,0.75,0.842
414,Bonito,MS,0.684,0.74,0.778
452,Carauari,AM,0.492,0.698,0.784
567,Lábrea,AM,0.634,0.675,0.701
770,Paraty,RJ,0.442,0.658,0.753
299,Santo Ângelo,RS,0.438,0.653,0.758
242,Pato Branco,PR,0.444,0.603,0.681
191,Lages,SC,0.43,0.586,0.663
388,Aracati,CE,0.376,0.553,0.628
246,Paulo Afonso,BA,0.495,0.541,0.569
351,Uberaba,MG,0.408,0.511,0.567
420,Breves,PA,0.375,0.487,0.536
340,Toledo,PR,0.377,0.409,0.431
220,Mossoró,RN,0.345,0.389,0.413
759,Vilhena,RO,0.324,0.35,0.368
416,Borba,AM,0.32,0.347,0.363
78,Caruaru,PE,0.313,0.337,0.353
621,Pacaraima,RR,0.31,0.337,0.354
93,Santo Antônio de Jesus,BA,0.237,0.334,0.378
394,Aripuanã,MT,0.205,0.307,0.353
725,Sorriso,MT,0.214,0.304,0.348
586,Maués,AM,0.279,0.302,0.316
68,Campos dos Goytacazes,RJ,0.199,0.299,0.345
612,Água Boa,MT,0.196,0.292,0.336
264,Ponta Grossa,PR,0.262,0.277,0.289
312,São José dos Campos,SP,0.227,0.273,0.299
541,Itaituba,PA,0.209,0.268,0.295
25,Araraquara,SP,0.222,0.257,0.277
729,Tangará da Serra,MT,0.223,0.254,0.272
69,Canela,RS,0.157,0.241,0.286
107,Feira de Santana,BA,0.185,0.221,0.239
37,Barra do Garças,MT,0.147,0.22,0.254
61,Caiçara do Norte,RN,0.137,0.205,0.232
767,Angra dos Reis,RJ,0.137,0.204,0.232
251,Pelotas,RS,0.146,0.202,0.23
166,Itapipoca,CE,0.173,0.195,0.207
34,Guarujá,SP,0.117,0.179,0.207
693,São Benedito,CE,0.157,0.178,0.189
508,Fernando de Noronha,PE,0.169,0.176,0.182
569,Lençóis,BA,0.115,0.165,0.185
7,Esplanada,BA,0.126,0.155,0.168
239,Parnaíba,PI,0.138,0.151,0.159
138,Corumbá,MS,0.137,0.143,0.149
325,Sobral,CE,0.126,0.142,0.15
99,Cuité,PB,0.082,0.122,0.139
407,Barreirinhas,MA,0.1,0.108,0.113
350,Ituberá,BA,0.074,0.108,0.122
302,Santo Antônio,RN,0.071,0.106,0.12
39,Barretos,SP,0.083,0.105,0.116
162,Itambé,PE,0.095,0.103,0.108
228,Novo Hamburgo,RS,0.066,0.101,0.119
360,Vera Cruz,BA,0.067,0.098,0.112
29,Araxá,MG,0.091,0.097,0.102
364,Volta Redonda,RJ,0.064,0.096,0.11
22,Arapiraca,AL,0.082,0.096,0.103
435,Camocim,CE,0.082,0.093,0.099
687,Santa Rosa,RS,0.061,0.092,0.107
279,Quixadá,CE,0.069,0.09,0.099
616,Óbidos,PA,0.067,0.088,0.097
13,Americana,SP,0.055,0.08,0.093
328,Sorocaba,SP,0.052,0.079,0.092
592,Monte Alegre,PA,0.06,0.079,0.088
121,Guarapuava,PR,0.056,0.078,0.089
96,Forquilhinha,SC,0.058,0.076,0.086
358,Varginha,MG,0.049,0.075,0.087
321,Serra Talhada,PE,0.067,0.073,0.076
695,São Félix do Araguaia,MT,0.048,0.072,0.081
766,Ilhabela,SP,0.053,0.071,0.08
254,Petrópolis,RJ,0.045,0.067,0.077
419,Brejo,MA,0.051,0.066,0.073
615,Novo Progresso,PA,0.051,0.065,0.072
